"","municipio","low_cost","max(precio_gasoleo_a)","min(precio_gasoleo_a)","mean(precio_gasoleo_a)","max(precio_gasolina_95_e5_premium)","min(precio_gasolina_95_e5_premium)","mean(precio_gasolina_95_e5_premium)"
"3820","Sobradiel","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"3821","Sobrado","no_low_cost",1.378,1.378,1.378,NA,NA,NA
"3822","Socovos","low_cost",1.399,1.399,1.399,NA,NA,NA
"3823","Socuéllamos","low_cost",1.296,1.287,1.2915,NA,NA,NA
"3824","Socuéllamos","no_low_cost",1.409,1.365,1.3774,NA,NA,NA
"3825","Solana (La)","low_cost",NA,NA,NA,NA,NA,NA
"3826","Solana (La)","no_low_cost",1.419,1.409,1.414,NA,NA,NA
"3827","Solana de los Barros","low_cost",1.25,1.25,1.25,NA,NA,NA
"3828","Solana de los Barros","no_low_cost",1.449,1.449,1.449,NA,NA,NA
"3829","Solivella","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"3830","Sollana","low_cost",1.369,1.359,1.364,NA,NA,NA
"3831","Sóller","no_low_cost",1.439,1.439,1.439,NA,NA,NA
"3832","Solórzano","low_cost",1.359,1.359,1.359,NA,NA,NA
"3833","Solosancho","low_cost",1.409,1.409,1.409,NA,NA,NA
"3834","Solsona","low_cost",1.19,1.19,1.19,NA,NA,NA
"3835","Solsona","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"3836","Somosierra","no_low_cost",1.429,1.429,1.429,NA,NA,NA
"3837","Son Servera","no_low_cost",NA,NA,NA,NA,NA,NA
"3838","Soneja","low_cost",1.26,1.249,1.2545,NA,NA,NA
"3839","Sonseca","low_cost",1.308,1.227,1.2675,NA,NA,NA
"3840","Sonseca","no_low_cost",1.429,1.429,1.429,NA,NA,NA
"3841","Sopelana","no_low_cost",1.359,1.359,1.359,NA,NA,NA
"3842","Sopuerta","no_low_cost",1.429,1.429,1.429,NA,NA,NA
"3843","Sorbas","low_cost",1.369,1.358,1.3635,NA,NA,NA
"3844","Soria","low_cost",NA,NA,NA,NA,NA,NA
"3845","Soria","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"3846","Soriguera","low_cost",1.379,1.379,1.379,NA,NA,NA
"3847","Sorihuela del Guadalimar","low_cost",1.36,1.36,1.36,NA,NA,NA
"3848","Sorihuela del Guadalimar","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"3849","Sort","low_cost",1.195,1.195,1.195,NA,NA,NA
"3850","Sos del Rey Católico","low_cost",1.29,1.29,1.29,NA,NA,NA
"3851","Soses","low_cost",NA,NA,NA,NA,NA,NA
"3852","Soses","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"3853","Sot de Ferrer","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"3854","Sotillo de la Adrada","no_low_cost",1.459,1.459,1.459,NA,NA,NA
"3855","Soto del Barco","low_cost",1.379,1.379,1.379,NA,NA,NA
"3856","Soto del Barco","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"3857","Soto del Real","low_cost",1.419,1.419,1.419,NA,NA,NA
"3858","Sotonera (La)","no_low_cost",1.369,1.369,1.369,NA,NA,NA
"3859","Suances","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"3860","Subirats","low_cost",1.369,1.369,1.369,NA,NA,NA
"3861","Sudanell","low_cost",NA,NA,NA,NA,NA,NA
"3862","Sueca","low_cost",1.379,1.285,1.3365,NA,NA,NA
"3863","Sueca","no_low_cost",1.379,1.359,1.364,NA,NA,NA
"3864","Sunyer","low_cost",NA,NA,NA,NA,NA,NA
"3865","Súria","low_cost",1.269,1.269,1.269,NA,NA,NA
"3866","Súria","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"3867","Tabernas","low_cost",1.379,1.379,1.379,NA,NA,NA
"3868","Tabernas","no_low_cost",1.409,1.389,1.399,NA,NA,NA
"3869","Taboada","low_cost",1.409,1.409,1.409,NA,NA,NA
"3870","Taboadela","low_cost",1.358,1.358,1.358,NA,NA,NA
"3871","Taboadela","no_low_cost",1.399,1.399,1.399,1.584,1.584,1.584
"3872","Tabuenca","low_cost",NA,NA,NA,NA,NA,NA
"3873","Tacoronte","low_cost",1.109,1.088,1.102,NA,NA,NA
"3874","Tacoronte","no_low_cost",1.109,1.089,1.099,NA,NA,NA
"3875","Tafalla","low_cost",1.419,1.289,1.366,NA,NA,NA
"3876","Tafalla","no_low_cost",1.439,1.439,1.439,NA,NA,NA
"3877","Tagamanent","low_cost",1.439,1.439,1.439,NA,NA,NA
"3878","Tagamanent","no_low_cost",1.449,1.449,1.449,NA,NA,NA
"3879","Talamanca de Jarama","low_cost",1.379,1.379,1.379,NA,NA,NA
"3880","Talarrubias","low_cost",1.29,1.29,1.29,NA,NA,NA
"3881","Talarrubias","no_low_cost",1.309,1.309,1.309,NA,NA,NA
"3882","Talavera de la Reina","low_cost",1.448,1.251,1.32593333333333,NA,NA,NA
"3883","Talavera de la Reina","no_low_cost",1.449,1.389,1.4235,NA,NA,NA
"3884","Talavera la Real","low_cost",NA,NA,NA,NA,NA,NA
"3885","Talavera la Real","no_low_cost",1.429,1.429,1.429,NA,NA,NA
"3886","Talayuela","low_cost",1.259,1.259,1.259,NA,NA,NA
"3887","Talayuela","no_low_cost",1.379,1.369,1.374,NA,NA,NA
"3888","Talayuelas","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"3889","Tamames","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"3890","Tamarite de Litera","low_cost",1.293,1.293,1.293,NA,NA,NA
"3891","Tanque (El)","no_low_cost",1.099,1.099,1.099,NA,NA,NA
"3892","Tapia de Casariego","low_cost",1.399,1.399,1.399,NA,NA,NA
"3893","Tapia de Casariego","no_low_cost",1.399,1.395,1.39633333333333,NA,NA,NA
"3894","Taradell","low_cost",1.269,1.269,1.269,NA,NA,NA
"3895","Tarancón","low_cost",1.299,1.22,1.266,NA,NA,NA
"3896","Tarancón","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"3897","Tarazona","low_cost",NA,NA,NA,NA,NA,NA
"3898","Tarazona","no_low_cost",1.419,1.419,1.419,1.599,1.599,1.599
"3899","Tarazona de la Mancha","low_cost",1.244,1.22,1.232,NA,NA,NA
"3900","Tarazona de la Mancha","no_low_cost",1.409,1.409,1.409,1.509,1.509,1.509
"3901","Tardienta","no_low_cost",1.359,1.359,1.359,NA,NA,NA
"3902","Tarifa","low_cost",1.379,1.269,1.333,NA,NA,NA
"3903","Tarifa","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"3904","Tarragona","low_cost",NA,NA,NA,NA,NA,NA
"3905","Tarragona","no_low_cost",1.429,1.199,1.39125,NA,NA,NA
"3906","Tàrrega","low_cost",1.319,1.168,1.22625,NA,NA,NA
"3907","Tàrrega","no_low_cost",1.415,1.399,1.407,NA,NA,NA
"3908","Tauste","low_cost",1.299,1.209,1.241,NA,NA,NA
"3909","Tauste","no_low_cost",1.359,1.34,1.3495,NA,NA,NA
"3910","Tavernes de la Valldigna","low_cost",1.399,1.303,1.36033333333333,NA,NA,NA
"3911","Tavernes de la Valldigna","no_low_cost",1.399,1.259,1.329,NA,NA,NA
"3912","Teba","low_cost",1.389,1.209,1.299,NA,NA,NA
"3913","Tébar","low_cost",1.339,1.279,1.309,NA,NA,NA
"3914","Tébar","no_low_cost",1.419,1.419,1.419,NA,NA,NA
"3915","Tegueste","low_cost",1.11,1.099,1.1045,NA,NA,NA
"3916","Tegueste","no_low_cost",1.109,1.109,1.109,NA,NA,NA
"3917","Teguise","low_cost",1.159,1.153,1.1575,NA,NA,NA
"3918","Teguise","no_low_cost",1.159,1.159,1.159,NA,NA,NA
"3919","Teià","no_low_cost",1.459,1.419,1.439,NA,NA,NA
"3920","Tejeda","low_cost",1.099,1.099,1.099,NA,NA,NA
"3921","Tejeda de Tiétar","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"3922","Telde","low_cost",1.099,1.049,1.08194117647059,NA,NA,NA
"3923","Telde","no_low_cost",1.09,1.075,1.08255555555556,NA,NA,NA
"3924","Tella-Sin","no_low_cost",1.359,1.359,1.359,NA,NA,NA
"3925","Tembleque","low_cost",1.22,1.22,1.22,NA,NA,NA
"3926","Tembleque","no_low_cost",1.439,1.419,1.42566666666667,NA,NA,NA
"3927","Teo","low_cost",1.299,1.299,1.299,NA,NA,NA
"3928","Teo","no_low_cost",1.429,1.389,1.40833333333333,NA,NA,NA
"3929","Térmens","low_cost",1.389,1.229,1.28566666666667,NA,NA,NA
"3930","Teror","low_cost",1.089,1.089,1.089,NA,NA,NA
"3931","Teror","no_low_cost",1.079,1.079,1.079,NA,NA,NA
"3932","Terrassa","low_cost",NA,NA,NA,NA,NA,NA
"3933","Terrassa","no_low_cost",1.419,1.314,1.37088888888889,NA,NA,NA
"3934","Teruel","low_cost",NA,NA,NA,NA,NA,NA
"3935","Teruel","no_low_cost",1.389,1.385,1.38766666666667,NA,NA,NA
"3936","Teulada","no_low_cost",1.409,1.379,1.39433333333333,NA,NA,NA
"3937","Teverga","low_cost",1.359,1.359,1.359,NA,NA,NA
"3938","Tías","low_cost",1.153,1.111,1.14142857142857,NA,NA,NA
"3939","Tías","no_low_cost",1.109,1.109,1.109,NA,NA,NA
"3940","Tibi","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"3941","Tiebas-Muruarte de Reta","low_cost",1.289,1.289,1.289,NA,NA,NA
"3942","Tielmes","low_cost",1.409,1.409,1.409,NA,NA,NA
"3943","Tiemblo (El)","low_cost",1.419,1.419,1.419,NA,NA,NA
"3944","Tíjola","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"3945","Tinajo","low_cost",1.154,1.154,1.154,NA,NA,NA
"3946","Tineo","low_cost",1.309,1.309,1.309,NA,NA,NA
"3947","Tineo","no_low_cost",1.395,1.359,1.371,NA,NA,NA
"3948","Tirgo","no_low_cost",1.419,1.419,1.419,NA,NA,NA
"3949","Titaguas","low_cost",1.349,1.349,1.349,1.519,1.519,1.519
"3950","Tivissa","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"3951","Tobarra","low_cost",1.359,1.25,1.296,NA,NA,NA
"3952","Tobarra","no_low_cost",1.419,1.419,1.419,NA,NA,NA
"3953","Toboso (El)","low_cost",1.419,1.24,1.3295,NA,NA,NA
"3954","Tocina","low_cost",1.319,1.269,1.289,NA,NA,NA
"3955","Toledo","low_cost",NA,NA,NA,NA,NA,NA
"3956","Toledo","no_low_cost",1.459,1.379,1.42441666666667,NA,NA,NA
"3957","Tolocirio","no_low_cost",1.419,1.419,1.419,NA,NA,NA
"3958","Tolosa","low_cost",1.449,1.399,1.424,NA,NA,NA
"3959","Tolosa","no_low_cost",1.449,1.449,1.449,NA,NA,NA
"3960","Tomares","low_cost",1.319,1.317,1.318,NA,NA,NA
"3961","Tomares","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"3962","Tomelloso","low_cost",1.409,1.279,1.32875,NA,NA,NA
"3963","Tomelloso","no_low_cost",1.399,1.369,1.388,NA,NA,NA
"3964","Tomiño","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"3965","Tona","no_low_cost",1.329,1.289,1.31566666666667,NA,NA,NA
"3966","Torà","low_cost",1.255,1.189,1.222,NA,NA,NA
"3967","Toral de los Guzmanes","low_cost",1.259,1.259,1.259,NA,NA,NA
"3968","Toral de los Guzmanes","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"3969","Tordehumos","no_low_cost",1.375,1.375,1.375,NA,NA,NA
"3970","Tordera","low_cost",1.273,1.273,1.273,NA,NA,NA
"3971","Tordera","no_low_cost",1.425,1.369,1.397,NA,NA,NA
"3972","Tordesillas","low_cost",1.353,1.309,1.331,NA,NA,NA
"3973","Tordesillas","no_low_cost",1.429,1.389,1.4115,NA,NA,NA
"3974","Torelló","low_cost",1.259,1.259,1.259,NA,NA,NA
"3975","Torelló","no_low_cost",1.359,1.359,1.359,NA,NA,NA
"3976","Toreno","no_low_cost",1.439,1.439,1.439,1.589,1.589,1.589
"3977","Torija","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"3978","Tornabous","low_cost",1.239,1.239,1.239,NA,NA,NA
"3979","Torno (El)","low_cost",1.271,1.271,1.271,NA,NA,NA
"3980","Tornos","low_cost",NA,NA,NA,NA,NA,NA
"3981","Toro","low_cost",1.415,1.259,1.35825,NA,NA,NA
"3982","Toro","no_low_cost",1.405,1.399,1.402,NA,NA,NA
"3983","Torquemada","low_cost",NA,NA,NA,NA,NA,NA
"3984","Torquemada","no_low_cost",1.399,1.389,1.39566666666667,NA,NA,NA
"3985","Torralba de Calatrava","low_cost",1.289,1.289,1.289,NA,NA,NA
"3986","Torralba de Calatrava","no_low_cost",1.384,1.384,1.384,NA,NA,NA
"3987","Torralba de los Sisones","low_cost",NA,NA,NA,NA,NA,NA
"3988","Torre (La)","low_cost",1.339,1.339,1.339,NA,NA,NA
"3989","Torre de Claramunt (La)","low_cost",1.399,1.399,1.399,NA,NA,NA
"3990","Torre de Esteban Hambrán (La)","low_cost",1.379,1.379,1.379,NA,NA,NA
"3991","Torre de Juan Abad","low_cost",NA,NA,NA,NA,NA,NA
"3992","Torre de Juan Abad","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"3993","Torre de Miguel Sesmero","low_cost",1.349,1.349,1.349,NA,NA,NA
"3994","Torre de Santa María","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"3995","Torre del Burgo","low_cost",1.349,1.349,1.349,NA,NA,NA
"3996","Torre del Campo","low_cost",1.399,1.249,1.309,NA,NA,NA
"3997","Torre del Campo","no_low_cost",1.409,1.399,1.404,NA,NA,NA
"3998","Torre del Valle (La)","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"3999","Torre-Pacheco","low_cost",1.369,1.203,1.29342857142857,NA,NA,NA
"4000","Torre-Pacheco","no_low_cost",1.389,1.299,1.36028571428571,NA,NA,NA
"4001","Torreblanca","low_cost",NA,NA,NA,NA,NA,NA
"4002","Torreblanca","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"4003","Torreblascopedro","low_cost",1.369,1.29,1.3295,NA,NA,NA
"4004","Torrecaballeros","low_cost",1.379,1.379,1.379,NA,NA,NA
"4005","Torrecampo","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"4006","Torrecilla de Alcañiz","low_cost",1.227,1.227,1.227,NA,NA,NA
"4007","Torrecilla del Rebollar","low_cost",NA,NA,NA,NA,NA,NA
"4008","Torrecillas de la Tiesa","no_low_cost",1.405,1.405,1.405,NA,NA,NA
"4009","Torredembarra","low_cost",1.323,1.323,1.323,NA,NA,NA
"4010","Torredembarra","no_low_cost",1.419,1.409,1.414,NA,NA,NA
"4011","Torredonjimeno","low_cost",1.319,1.299,1.309,NA,NA,NA
"4012","Torredonjimeno","no_low_cost",1.409,1.399,1.404,NA,NA,NA
"4013","Torrefarrera","low_cost",1.409,1.191,1.3,NA,NA,NA
"4014","Torregrossa","low_cost",1.208,1.208,1.208,NA,NA,NA
"4015","Torregrossa","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"4016","Torrejón de Ardoz","low_cost",1.429,1.227,1.31066666666667,NA,NA,NA
"4017","Torrejón de Ardoz","no_low_cost",1.439,1.309,1.39211111111111,NA,NA,NA
"4018","Torrejón de la Calzada","no_low_cost",1.429,1.429,1.429,1.619,1.619,1.619
"4019","Torrejón de Velasco","no_low_cost",1.409,1.399,1.404,NA,NA,NA
"4020","Torrejón del Rey","no_low_cost",1.419,1.419,1.419,NA,NA,NA
"4021","Torrejoncillo del Rey","low_cost",1.25,1.25,1.25,NA,NA,NA
"4022","Torrelaguna","no_low_cost",1.429,1.429,1.429,NA,NA,NA
"4023","Torrelameu","low_cost",1.281,1.281,1.281,NA,NA,NA
"4024","Torrelavega","low_cost",1.399,1.255,1.29214285714286,NA,NA,NA
"4025","Torrelavega","no_low_cost",1.439,1.349,1.4054,NA,NA,NA
"4026","Torrelles de Llobregat","low_cost",1.185,1.185,1.185,NA,NA,NA
"4027","Torrelodones","no_low_cost",1.419,1.419,1.419,NA,NA,NA
"4028","Torremejía","low_cost",NA,NA,NA,NA,NA,NA
"4029","Torremocha del Campo","low_cost",NA,NA,NA,NA,NA,NA
"4030","Torremolinos","low_cost",1.409,1.277,1.351,NA,NA,NA
"4031","Torremolinos","no_low_cost",1.429,1.359,1.39025,NA,NA,NA
"4032","Torrent","low_cost",1.369,1.209,1.284,NA,NA,NA
"4033","Torrent","no_low_cost",1.409,1.309,1.37566666666667,NA,NA,NA
"4034","Torrente de Cinca","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"4035","Torrenueva","low_cost",1.359,1.23,1.2945,NA,NA,NA
"4036","Torreorgaz","low_cost",1.329,1.329,1.329,NA,NA,NA
"4037","Torreperogil","low_cost",1.279,1.279,1.279,NA,NA,NA
"4038","Torreperogil","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"4039","Torres","low_cost",1.31,1.31,1.31,NA,NA,NA
"4040","Torres de Cotillas (Las)","low_cost",NA,NA,NA,NA,NA,NA
"4041","Torres de Cotillas (Las)","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"4042","Torres de la Alameda","low_cost",NA,NA,NA,NA,NA,NA
"4043","Torres de la Alameda","no_low_cost",1.459,1.459,1.459,NA,NA,NA
"4044","Torres de Segre","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"4045","Torrevieja","low_cost",1.39,1.187,1.26682352941176,NA,NA,NA
"4046","Torrevieja","no_low_cost",1.385,1.187,1.351,NA,NA,NA
"4047","Torrijo del Campo","low_cost",NA,NA,NA,NA,NA,NA
"4048","Torrijos","low_cost",1.349,1.327,1.338,NA,NA,NA
"4049","Torrijos","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"4050","Torroella de Fluvià","low_cost",1.389,1.389,1.389,NA,NA,NA
"4051","Torroella de Montgrí","low_cost",1.279,1.269,1.274,NA,NA,NA
"4052","Torroella de Montgrí","no_low_cost",1.369,1.369,1.369,NA,NA,NA
"4053","Torrox","low_cost",1.419,1.419,1.419,NA,NA,NA
"4054","Torrox","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"4055","Torrubia del Campo","low_cost",1.301,1.301,1.301,NA,NA,NA
"4056","Tortosa","low_cost",1.429,1.24,1.3132,NA,NA,NA
"4057","Tortosa","no_low_cost",1.429,1.39,1.4144,NA,NA,NA
"4058","Tossa de Mar","low_cost",1.389,1.389,1.389,NA,NA,NA
"4059","Totana","low_cost",1.379,1.22,1.31771428571429,NA,NA,NA
"4060","Totana","no_low_cost",1.379,1.359,1.369,NA,NA,NA
"4061","Trabadelo","low_cost",1.419,1.419,1.419,NA,NA,NA
"4062","Trabanca","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"4063","Tragacete","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"4064","Traiguera","low_cost",NA,NA,NA,NA,NA,NA
"4065","Trasmiras","no_low_cost",1.429,1.429,1.429,NA,NA,NA
"4066","Trazo","low_cost",1.345,1.345,1.345,NA,NA,NA
"4067","Trazo","no_low_cost",1.349,1.349,1.349,NA,NA,NA
"4068","Trebujena","low_cost",1.389,1.389,1.389,NA,NA,NA
"4069","Trebujena","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"4070","Tremp","low_cost",1.259,1.193,1.215,NA,NA,NA
"4071","Tremp","no_low_cost",1.385,1.385,1.385,NA,NA,NA
"4072","Tres Cantos","low_cost",1.399,1.189,1.294,NA,NA,NA
"4073","Tres Cantos","no_low_cost",1.389,1.352,1.37225,NA,NA,NA
"4074","Tresjuncos","low_cost",1.27,1.27,1.27,NA,NA,NA
"4075","Trespaderne","low_cost",1.298,1.298,1.298,NA,NA,NA
"4076","Trigueros","no_low_cost",1.419,1.269,1.339,NA,NA,NA
"4077","Trijueque","no_low_cost",1.419,1.419,1.419,NA,NA,NA
"4078","Truchas","no_low_cost",NA,NA,NA,NA,NA,NA
"4079","Trujillo","low_cost",1.409,1.325,1.367,NA,NA,NA
"4080","Trujillo","no_low_cost",1.429,1.405,1.415,NA,NA,NA
"4081","Tudela","low_cost",1.439,1.234,1.30258333333333,NA,NA,NA
"4082","Tudela","no_low_cost",1.369,1.369,1.369,NA,NA,NA
"4083","Tudela de Duero","low_cost",1.319,1.319,1.319,NA,NA,NA
"4084","Tudela de Duero","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"4085","Tuéjar","no_low_cost",1.369,1.369,1.369,NA,NA,NA
"4086","Tui","low_cost",1.355,1.249,1.31966666666667,NA,NA,NA
"4087","Tui","no_low_cost",1.389,1.379,1.384,NA,NA,NA
"4088","Tuineje","low_cost",1.173,1.028,1.12466666666667,NA,NA,NA
"4089","Turcia","low_cost",1.319,1.295,1.307,NA,NA,NA
"4090","Turcia","no_low_cost",1.439,1.439,1.439,NA,NA,NA
"4091","Turégano","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"4092","Turís","low_cost",1.309,1.239,1.274,NA,NA,NA
"4093","Turleque","low_cost",1.253,1.253,1.253,NA,NA,NA
"4094","Úbeda","low_cost",1.408,1.269,1.34028571428571,NA,NA,NA
"4095","Úbeda","no_low_cost",1.419,1.408,1.4135,NA,NA,NA
"4096","Ubrique","low_cost",1.309,1.309,1.309,NA,NA,NA
"4097","Ubrique","no_low_cost",1.409,1.399,1.404,NA,NA,NA
"4098","Uceda","no_low_cost",1.459,1.459,1.459,NA,NA,NA
"4099","Ugao-Miraballes","low_cost",1.469,1.469,1.469,NA,NA,NA
"4100","Ugena","low_cost",1.317,1.317,1.317,NA,NA,NA
"4101","Ugíjar","low_cost",1.369,1.369,1.369,NA,NA,NA
"4102","Ujué","low_cost",NA,NA,NA,NA,NA,NA
"4103","Ulea","no_low_cost",1.359,1.359,1.359,NA,NA,NA
"4104","Ullà","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"4105","Ulldecona","low_cost",1.409,1.259,1.32766666666667,NA,NA,NA
"4106","Ultzama","low_cost",1.349,1.349,1.349,NA,NA,NA
"4107","Umbrete","low_cost",1.319,1.319,1.319,NA,NA,NA
"4108","Unión (La)","low_cost",1.359,1.257,1.308,NA,NA,NA
"4109","Unión (La)","no_low_cost",1.359,1.359,1.359,NA,NA,NA
"4110","Urda","low_cost",1.241,1.241,1.241,NA,NA,NA
"4111","Urda","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"4112","Urdazubi/Urdax","low_cost",1.349,1.349,1.349,NA,NA,NA
"4113","Urdazubi/Urdax","no_low_cost",1.389,1.379,1.38233333333333,NA,NA,NA
"4114","Urdiales del Páramo","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"4115","Urduliz","low_cost",1.419,1.419,1.419,NA,NA,NA
"4116","Urduliz","no_low_cost",1.339,1.339,1.339,NA,NA,NA
"4117","Urduña-Orduña","low_cost",1.379,1.379,1.379,NA,NA,NA
"4118","Urnieta","no_low_cost",1.429,1.429,1.429,NA,NA,NA
"4119","Urrea de Jalón","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"4120","Urzainqui","low_cost",1.419,1.419,1.419,NA,NA,NA
"4121","Usagre","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"4122","Used","low_cost",NA,NA,NA,NA,NA,NA
"4123","Usurbil","low_cost",1.449,1.349,1.399,NA,NA,NA
"4124","Usurbil","no_low_cost",1.459,1.439,1.45233333333333,NA,NA,NA
"4125","Utebo","low_cost",1.208,1.198,1.203,NA,NA,NA
"4126","Utebo","no_low_cost",1.389,1.385,1.388,NA,NA,NA
"4127","Utiel","low_cost",1.233,1.233,1.233,NA,NA,NA
"4128","Utiel","no_low_cost",1.419,1.399,1.409,NA,NA,NA
"4129","Utrera","low_cost",1.399,1.279,1.31933333333333,NA,NA,NA
"4130","Utrera","no_low_cost",1.419,1.384,1.40525,NA,NA,NA
"4131","Utrillas","no_low_cost",1.369,1.369,1.369,NA,NA,NA
"4132","Vacarisses","low_cost",1.319,1.319,1.319,NA,NA,NA
"4133","Vacarisses","no_low_cost",1.425,1.419,1.422,NA,NA,NA
"4134","Vadocondes","no_low_cost",1.439,1.439,1.439,NA,NA,NA
"4135","Val de San Vicente","low_cost",1.309,1.279,1.294,NA,NA,NA
"4136","Val do Dubra","low_cost",1.398,1.369,1.3835,NA,NA,NA
"4137","Val do Dubra","no_low_cost",1.399,1.389,1.394,NA,NA,NA
"4138","Valdáliga","low_cost",1.329,1.329,1.329,NA,NA,NA
"4139","Valdáliga","no_low_cost",1.439,1.439,1.439,NA,NA,NA
"4140","Valdastillas","low_cost",1.249,1.249,1.249,NA,NA,NA
"4141","Valdastillas","no_low_cost",1.369,1.369,1.369,NA,NA,NA
"4142","Valdealgorfa","low_cost",1.225,1.225,1.225,NA,NA,NA
"4143","Valdecaballeros","low_cost",1.395,1.395,1.395,NA,NA,NA
"4144","Valdecarros","low_cost",1.269,1.269,1.269,NA,NA,NA
"4145","Valdefresno","no_low_cost",1.439,1.439,1.439,NA,NA,NA
"4146","Valdeganga","low_cost",1.291,1.291,1.291,NA,NA,NA
"4147","Valdelacalzada","low_cost",1.359,1.359,1.359,NA,NA,NA
"4148","Valdemorillo","no_low_cost",1.419,1.409,1.414,NA,NA,NA
"4149","Valdemoro","low_cost",NA,NA,NA,NA,NA,NA
"4150","Valdemoro","no_low_cost",1.429,1.389,1.41166666666667,NA,NA,NA
"4151","Valdeobispo","low_cost",1.389,1.389,1.389,NA,NA,NA
"4152","Valdeolivas","low_cost",1.263,1.263,1.263,NA,NA,NA
"4153","Valdepeñas","low_cost",1.389,1.259,1.31566666666667,NA,NA,NA
"4154","Valdepeñas","no_low_cost",1.419,1.395,1.40985714285714,NA,NA,NA
"4155","Valdepeñas de Jaén","low_cost",1.278,1.248,1.263,NA,NA,NA
"4156","Valdepolo","low_cost",1.439,1.439,1.439,NA,NA,NA
"4157","Valderas","no_low_cost",1.349,1.349,1.349,NA,NA,NA
"4158","Valderredible","low_cost",1.409,1.409,1.409,NA,NA,NA
"4159","Valderrobres","low_cost",NA,NA,NA,NA,NA,NA
"4160","Valderrobres","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"4161","Valderrueda","low_cost",1.459,1.459,1.459,NA,NA,NA
"4162","Valdés","low_cost",1.309,1.279,1.3015,NA,NA,NA
"4163","Valdés","no_low_cost",1.399,1.339,1.371,NA,NA,NA
"4164","Valdetorres de Jarama","low_cost",1.429,1.429,1.429,NA,NA,NA
"4165","Valdevimbre","no_low_cost",1.419,1.419,1.419,NA,NA,NA
"4166","Valdoviño","low_cost",1.329,1.329,1.329,NA,NA,NA
"4167","Valdoviño","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"4168","Valencia de Alcántara","no_low_cost",1.439,1.429,1.43233333333333,NA,NA,NA
"4169","Valencia de Don Juan","low_cost",1.389,1.349,1.369,NA,NA,NA
"4170","Valencia de las Torres","no_low_cost",1.429,1.429,1.429,NA,NA,NA
"4171","Valencia del Mombuey","no_low_cost",1.419,1.419,1.419,NA,NA,NA
"4172","Valencia del Ventoso","low_cost",1.259,1.231,1.245,NA,NA,NA
"4173","Valencina de la Concepción","low_cost",1.319,1.319,1.319,NA,NA,NA
"4174","Valencina de la Concepción","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"4175","Valeras (Las)","low_cost",1.459,1.459,1.459,NA,NA,NA
"4176","Valga","low_cost",1.267,1.267,1.267,NA,NA,NA
"4177","Valjunquera","low_cost",1.24,1.24,1.24,NA,NA,NA
"4178","Vall d'Alba","low_cost",1.32,1.32,1.32,NA,NA,NA
"4179","Vall d'Alba","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"4180","Vall d'en Bas (La)","low_cost",1.359,1.319,1.339,NA,NA,NA
