"","municipio","low_cost","max(precio_gasoleo_a)","min(precio_gasoleo_a)","mean(precio_gasoleo_a)","max(precio_gasolina_95_e5_premium)","min(precio_gasolina_95_e5_premium)","mean(precio_gasolina_95_e5_premium)"
"83","Alatoz","no_low_cost",1.39,1.39,1.39,NA,NA,NA
"84","Alba","low_cost",NA,NA,NA,NA,NA,NA
"85","Alba de Tormes","low_cost",1.409,1.409,1.409,NA,NA,NA
"86","Albacete","low_cost",NA,NA,NA,NA,NA,NA
"87","Albacete","no_low_cost",1.425,1.349,1.391,NA,NA,NA
"88","Albaida","low_cost",NA,NA,NA,1.502,1.502,1.502
"89","Albaida","no_low_cost",1.45,1.45,1.45,NA,NA,NA
"90","Albal","low_cost",1.266,1.244,1.2526,NA,NA,NA
"91","Albal","no_low_cost",1.369,1.369,1.369,NA,NA,NA
"92","Albaladejo","low_cost",1.205,1.205,1.205,NA,NA,NA
"93","Albalat de la Ribera","low_cost",1.339,1.339,1.339,NA,NA,NA
"94","Albalat dels Sorells","low_cost",1.299,1.298,1.2985,NA,NA,NA
"95","Albalat dels Sorells","no_low_cost",1.369,1.369,1.369,1.549,1.549,1.549
"96","Albalate de Cinca","no_low_cost",1.359,1.359,1.359,NA,NA,NA
"97","Albalate del Arzobispo","low_cost",1.11,1.11,1.11,NA,NA,NA
"98","Albalate del Arzobispo","no_low_cost",1.369,1.369,1.369,NA,NA,NA
"99","Albanchez de Mágina","low_cost",1.315,1.315,1.315,NA,NA,NA
"100","Albarracín","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"101","Albarreal de Tajo","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"102","Albatàrrec","low_cost",1.379,1.26,1.3195,NA,NA,NA
"103","Albatera","low_cost",1.379,1.369,1.374,NA,NA,NA
"104","Albatera","no_low_cost",1.429,1.419,1.42233333333333,NA,NA,NA
"105","Albelda de Iregua","low_cost",1.419,1.419,1.419,NA,NA,NA
"106","Albelda de Iregua","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"107","Albentosa","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"108","Alberca (La)","low_cost",1.409,1.409,1.409,NA,NA,NA
"109","Alberca de Záncara (La)","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"110","Alberic","low_cost",1.369,1.329,1.34566666666667,NA,NA,NA
